Date Acquired,Property Description,Amount (USD)
2021-12-30 14:37:20,5.5 SOL,971.45
2021-12-18 20:01:03,5.2 SOL,958.56
2021-12-17 17:58:08,5.2 SOL,933.09
2021-12-06 13:41:53,710.967466 SOL,705.97
2021-12-04 19:20:28,3.3 SOL,690.66
2021-10-29 02:05:20,2.0 SOL,411.23
2021-09-30 15:30:04,700.0 ADA,1495.67
2021-09-14 15:35:27,5.0 QNT,1980.04
2021-09-08 18:22:42,3.75 QNT,1225.64
2021-09-03 10:27:52,1500.0 CRO,251.63
2021-09-03 10:21:48,500.0 ADA,1512.8
2021-09-02 19:38:09,5.75 QNT,1137.19
2021-02-18 21:43:40,0.99 LINK,32.89
2021-02-18 16:51:47,400.0 USDC,404.29
2021-02-18 02:03:10,169.0 USDC,170.49
2021-02-17 17:52:14,227.98 ADA,227.98
2021-02-17 17:17:25,230.0 USDC,232.17
2021-02-17 17:01:25,500.0 ENJ,278.5
2021-02-16 00:10:47,1033.67 ADA,1033.67
2021-12-30 14:37:20,5.5 SOL,971.45
2021-12-18 20:01:03,5.2 SOL,958.56
2021-12-17 17:58:08,5.2 SOL,933.09
2021-12-06 13:41:53,710.967466 SOL,705.97
2021-12-04 19:20:28,3.3 SOL,690.66
2021-10-29 02:05:20,2.0 SOL,411.23
2021-09-30 15:30:04,700.0 ADA,1495.67
2021-09-14 15:35:27,5.0 QNT,1980.04
2021-09-08 18:22:42,3.75 QNT,1225.64
2021-09-03 10:27:52,1500.0 CRO,251.63
2021-09-03 10:21:48,500.0 ADA,1512.8
2021-09-02 19:38:09,5.75 QNT,1137.19
2021-02-18 21:43:40,0.99 LINK,32.89
2021-02-18 16:51:47,400.0 USDC,404.29
2021-02-18 02:03:10,169.0 USDC,170.49
2021-02-17 17:52:14,227.98 ADA,227.98
2021-02-17 17:17:25,230.0 USDC,232.17
2021-02-17 17:01:25,500.0 ENJ,278.5
2021-02-16 00:10:47,1033.67 ADA,1033.67
2021-02-17 17:52:15,227.98 ADA,227.98
2021-02-16 00:10:48,1033.67 ADA,1033.67
  ,  Total,30569.490000000005
