Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2021-12-26 23:06:28,Top Up Card,USD,870.72,USD,870.72,USD,870.72,870.72,viban_card_top_up
2021-12-26 23:00:17,SOL -> USD,SOL,4.434,USD,870.72,USD,870.72,870.72,crypto_viban
2021-12-24 22:07:39,Top Up Card,USD,200.96,USD,200.96,USD,200.96,200.96,viban_card_top_up
2021-12-24 22:07:05,SOL -> USD,SOL,1.0565,USD,200.96,USD,200.96,200.96,crypto_viban
2021-12-23 23:20:13,Top Up Card,USD,562.12,USD,562.12,USD,562.12,562.12,viban_card_top_up
2021-12-23 23:19:28,SOL -> USD,SOL,3.0,USD,562.12,USD,562.12,562.12,crypto_viban
2021-11-27 23:55:03,Top Up Card,USD,570.04,USD,570.04,USD,570.04,570.04,viban_card_top_up
2021-11-27 23:54:19,SOL -> USD,SOL,3.0,USD,570.04,USD,570.04,570.04,crypto_viban
2021-11-24 14:23:56,Top Up Card,USD,943.18,USD,943.18,USD,943.18,943.18,viban_card_top_up
2021-11-24 14:23:06,SOL -> USD,SOL,4.6,USD,943.18,USD,943.18,943.18,crypto_viban
2021-11-15 16:26:40,Top Up Card,USD,-6.07,USD,6.07,USD,6.07,6.07,van_card_top_up
2021-11-15 16:25:47,CRO -> USD,CRO,-13.9,USD,6.07,USD,6.07,6.07,crypto_to_van_sell_order
2021-10-20 18:37:35,Top Up Card,USD,-54.54,USD,54.54,USD,54.54,54.54,van_card_top_up
2021-10-20 18:11:06,CRO -> USD,CRO,-291.8,USD,54.54,USD,54.54,54.54,crypto_to_van_sell_order
2021-09-24 20:03:25,Top Up Card,USD,-2340.29,USD,2340.29,USD,2340.29,2340.29,van_card_top_up
2021-09-24 20:02:42,ONE -> USD,ONE,-17022.7,USD,2340.0,USD,2340.0,2340.0,crypto_to_van_sell_order
2021-09-23 20:54:41,Top Up Card,USD,-13.0,USD,13.0,USD,13.0,13.0,van_card_top_up
