Date Acquired,Property Description,Amount (USD)
2021-12-26 23:00:17,4.434 USD,870.72
2021-12-24 22:07:05,1.0565 USD,200.96
2021-12-23 23:19:28,3.0 USD,562.12
2021-12-04 05:30:43,4.1469 USDT,705.99
2021-11-27 23:54:19,3.0 USD,570.04
2021-11-24 14:23:06,4.6 USD,943.18
2021-11-15 16:26:04,291.11 ADA,582.03
2021-11-15 16:25:47,13.9 USD,6.07
2021-10-20 18:11:06,291.8 USD,54.54
2021-10-20 18:10:43,0.046478 ETH,188.55
2021-10-03 20:05:46,1228.26 ADA,2762.62
2021-09-24 20:02:42,17022.7 USD,2340.0
2021-09-23 20:53:22,80.0 USD,13.29
2021-09-07 21:30:27,1605.5 USD,260.67
2021-09-07 21:30:02,9988.0 USD,1125.65
2021-08-26 22:26:29,383.26 ADA,978.04
2021-08-14 03:17:28,247.48 ADA,517.74
2021-08-07 18:09:11,180.4 USD,24.28
2021-08-06 18:37:11,1765.81 ADA,2441.41
2021-07-17 22:36:35,164.6 USD,18.3
2021-07-13 17:57:30,1696.8 USD,2139.27
2021-07-11 20:54:25,357.7 USD,45.37
2021-07-10 20:55:32,200.0 USD,23.15
2021-06-26 05:40:09,691.39 USD,868.44
2021-06-26 01:49:13,1000.0 USD,1215.99
2021-06-23 20:12:00,815.28 USD,972.38
2021-06-21 22:00:37,200.0 USD,236.38
2021-06-13 03:56:00,1293.0 USD,1850.05
2021-06-09 19:21:55,718.8 USD,1122.73
2021-03-15 01:48:08,283.5 USD,297.1
2021-03-15 01:05:34,530.83 USD,525.49
2021-02-18 21:44:13,1.077 USDC,35.26
2021-02-17 17:51:19,230.0 USD,228.01
2021-02-16 16:57:54,1449.49 USD,1428.87
2021-02-16 00:08:57,1052.05 USD,1039.37
2021-02-16 00:04:02,32.979 USDC,1058.93
2021-12-26 23:00:17,4.434 USD,870.72
2021-12-24 22:07:05,1.0565 USD,200.96
2021-12-23 23:19:28,3.0 USD,562.12
2021-12-04 05:30:43,4.1469 USDT,705.99
2021-11-27 23:54:19,3.0 USD,570.04
2021-11-24 14:23:06,4.6 USD,943.18
2021-11-15 16:26:04,291.11 ADA,582.03
2021-11-15 16:25:47,13.9 USD,6.07
2021-10-20 18:11:06,291.8 USD,54.54
2021-10-20 18:10:43,0.046478 ETH,188.55
2021-10-03 20:05:46,1228.26 ADA,2762.62
2021-09-24 20:02:42,17022.7 USD,2340.0
2021-09-23 20:53:22,80.0 USD,13.29
2021-09-07 21:30:27,1605.5 USD,260.67
2021-09-07 21:30:02,9988.0 USD,1125.65
2021-08-26 22:26:29,383.26 ADA,978.04
2021-08-14 03:17:28,247.48 ADA,517.74
2021-08-07 18:09:11,180.4 USD,24.28
2021-08-06 18:37:11,1765.81 ADA,2441.41
2021-07-17 22:36:35,164.6 USD,18.3
2021-07-13 17:57:30,1696.8 USD,2139.27
2021-07-11 20:54:25,357.7 USD,45.37
2021-07-10 20:55:32,200.0 USD,23.15
2021-06-26 05:40:09,691.39 USD,868.44
2021-06-26 01:49:13,1000.0 USD,1215.99
2021-06-23 20:12:00,815.28 USD,972.38
2021-06-21 22:00:37,200.0 USD,236.38
2021-06-13 03:56:00,1293.0 USD,1850.05
2021-06-09 19:21:55,718.8 USD,1122.73
2021-03-15 01:48:08,283.5 USD,297.1
2021-03-15 01:05:34,530.83 USD,525.49
2021-02-18 21:44:13,1.077 USDC,35.26
2021-02-17 17:51:19,230.0 USD,228.01
2021-02-16 16:57:54,1449.49 USD,1428.87
2021-02-16 00:08:57,1052.05 USD,1039.37
2021-02-16 00:04:02,32.979 USDC,1058.93
2021-12-26 23:00:17,4.434 USD,870.72
2021-12-24 22:07:05,1.0565 USD,200.96
2021-12-23 23:19:28,3.0 USD,562.12
2021-11-27 23:54:19,3.0 USD,570.04
2021-11-24 14:23:06,4.6 USD,943.18
2021-11-15 16:25:47,13.9 USD,6.07
2021-10-20 18:11:06,291.8 USD,54.54
2021-09-24 20:02:42,17022.7 USD,2340.0
2021-09-23 20:53:22,80.0 USD,13.29
2021-09-07 21:30:27,1605.5 USD,260.67
2021-09-07 21:30:02,9988.0 USD,1125.65
2021-08-07 18:09:11,180.4 USD,24.28
2021-07-17 22:36:35,164.6 USD,18.3
2021-07-13 17:57:31,1696.8 USD,2139.27
2021-07-11 20:54:26,357.7 USD,45.37
2021-07-10 20:55:33,200.0 USD,23.15
2021-06-26 05:40:10,691.39 USD,868.44
2021-06-26 01:49:14,1000.0 USD,1215.99
2021-06-23 20:12:01,815.28 USD,972.38
2021-06-21 22:00:38,200.0 USD,236.38
2021-06-13 03:56:01,1293.0 USD,1850.05
2021-06-09 19:21:55,718.8 USD,1122.73
2021-03-15 01:48:09,283.5 USD,297.1
2021-03-15 01:05:35,530.83 USD,525.49
2021-02-17 17:51:20,230.0 USD,228.01
2021-02-16 16:57:55,1449.49 USD,1428.87
2021-02-16 00:08:57,1052.05 USD,1039.37
  ,  Total,17734.760000000006
